사용 데이터,,채용정보,공통코드,,,,,
공공일자리,,공공데이터 포털,"공공일자리 채용분야
(CMMN_370)",,,,,
기업채용,,잡코리아,"(신)잡아바_분류체계
(CMMN_276)",,,,,
,,고용24,,,,,,
,,잡아바 자체 등록,,,,,,
신성장기업관,,잡코리아,"미확인
(잡코리아 데이터 동일)",,,,,
"테마채용관
(신성장기업관, 
인턴•해외취업관)",,잡코리아,"미확인
(잡코리아 데이터 동일)",,,,,
"LG전자,
참괜찮은중소기업",,잡코리아,"미확인
(잡코리아 데이터 동일)",,,,,
아이원잡,,아이원잡,미확인,,,,,
KB 굿잡,,KB굿잡,미확인,,,,,
,잡코리아 API 수집 단계,,GRP_CD,CMN_CD,GRP_NM,CMN_NM,ORDR,REF_KEY_1
,1,잡코리아 모집 분야를 '잡코리아' 공통코드랑 매칭(CMN_CD),JOBKO_02,1000001,잡코리아 직종분류,호텔·여행·항공,1,521
,2,매칭한 공통코드의 REF_KEY_1 을 채용정보 데이터의 CL_CD 값으로 저장,JOBKO_02,1000001,잡코리아 직종분류,호텔·여행·항공,1,521
,3,여기서 사용한 REF_KEY_1 값은 기업채용 공통코드(고용24 베이스)의 모집분야 코드값,CMMN_276,521,(신)잡아바_분류체계_3차,여행 서비스원,,
,4,"기업 채용 검색 시, CL_CD 값 조회",,,,,,
,,"- 고용24, 자체 공고 > 그대로 검색
- 잡코리아는 검색한 코드값 중 3자리 추출해서 CL_CD 검색",,,,,,
